date,value
2023-02-28,2.1109
2023-03-31,2.1334
2023-04-30,2.136
2023-05-31,2.1491
2023-06-30,2.1446
2023-07-31,2.1813
2023-08-31,2.213
2023-09-30,2.2176
2023-10-31,2.2601
2023-11-30,2.2849
2023-12-31,2.299
2024-01-31,2.3053
2024-02-29,2.3243
2024-03-31,2.3462
2024-04-30,2.348
2024-05-31,2.3888
2024-06-30,2.4055
2024-07-31,2.418
2024-08-31,2.4542
2024-09-30,2.4601
2024-10-31,2.4427
2024-11-30,2.4841
2024-12-31,2.5399
2025-01-31,2.5416
2025-02-28,2.5525
2025-03-31,2.5678
2025-04-30,2.5957
2025-05-31,2.6032
2025-06-30,2.6348
2025-07-31,2.6471
2025-08-31,2.659
2025-09-30,2.7038
2025-10-31,2.7006
2025-11-30,2.7122
2025-12-31,2.7145
2026-01-31,2.7408
2026-02-28,2.7909
