date,value
2023-02-28,3.7867
2023-03-31,3.8037
2023-04-30,3.8167
2023-05-31,3.847
2023-06-30,3.8549
2023-07-31,3.869
2023-08-31,3.8812
2023-09-30,3.8917
2023-10-31,3.9036
2023-11-30,3.919
2023-12-31,3.938
2024-01-31,3.9344
2024-02-29,3.95
2024-03-31,3.9694
2024-04-30,3.9638
2024-05-31,3.9919
2024-06-30,3.9999
2024-07-31,4.01
2024-08-31,4.019
2024-09-30,4.0502
2024-10-31,4.0395
2024-11-30,4.0561
2024-12-31,4.0793
2025-01-31,4.0759
2025-02-28,4.1051
2025-03-31,4.1097
2025-04-30,4.111
2025-05-31,4.1332
2025-06-30,4.158
2025-07-31,4.1506
2025-08-31,4.1601
2025-09-30,4.1851
2025-10-31,4.2177
2025-11-30,4.2057
2025-12-31,4.219
2026-01-31,4.2308
2026-02-28,4.2521
