date,value
2020-03-01,140.2
2020-04-01,116.1
2020-05-01,122.2
2020-06-01,137.3
2020-07-01,144.4
2020-08-01,147.5
2020-09-01,147.7
2020-10-01,146.4
2020-11-01,151.0
2020-12-01,157.0
2021-01-01,163.1
2021-02-01,179.0
2021-03-01,185.5
2021-04-01,181.4
2021-05-01,191.9
2021-06-01,198.7
2021-07-01,208.007
2021-08-01,207.026
2021-09-01,212.739
2021-10-01,227.183
2021-11-01,229.943
2021-12-01,216.915
2022-01-01,226.762
2022-02-01,244.941
2022-03-01,261.558
2022-04-01,270.959
2022-05-01,296.372
2022-06-01,326.021
2022-07-01,295.257
2022-08-01,286.905
2022-09-01,283.92
2022-10-01,275.243
2022-11-01,263.359
2022-12-01,242.782
2023-01-01,250.787
2023-02-01,244.528
2023-02-28,235.1319
2023-03-01,236.186
2023-03-31,233.3123
2023-04-01,233.742
2023-04-30,230.1617
2023-05-01,222.929
2023-05-31,231.9418
2023-06-01,225.588
2023-06-30,229.4687
2023-07-01,230.074
2023-07-31,227.0546
2023-08-01,248.819
2023-08-31,226.1619
2023-09-01,254.484
2023-09-30,224.3454
2023-10-01,240.084
2023-10-31,222.488
2023-11-01,230.136
2023-11-30,218.3205
2023-12-01,217.245
2023-12-31,219.3428
2024-01-01,220.831
2024-01-31,216.467
2024-02-01,230.889
2024-02-29,212.6972
2024-03-01,230.625
2024-03-31,213.5827
2024-04-01,235.745
2024-04-30,211.8813
2024-05-01,225.604
2024-05-31,210.9209
2024-06-01,227.67
2024-06-30,208.8179
2024-07-01,233.455
2024-07-31,206.5754
2024-08-01,227.004
2024-08-31,205.9814
2024-09-01,214.634
2024-09-30,202.8341
2024-10-01,216.314
2024-10-31,203.1717
2024-11-01,211.36
2024-11-30,200.6673
2024-12-01,212.198
2024-12-31,199.0046
2025-01-01,223.307
2025-01-31,195.9956
2025-02-01,224.582
2025-02-28,195.4276
2025-03-01,219.177
2025-03-31,192.7302
2025-04-01,216.901
2025-04-30,191.0598
2025-05-01,214.274
2025-05-31,190.7699
2025-06-01,220.617
2025-06-30,190.3477
2025-07-01,225.536
2025-07-31,185.8243
2025-08-01,222.341
2025-08-31,186.9525
2025-09-01,221.346
2025-09-30,182.9245
2025-10-01,213.621
2025-10-31,180.8578
2025-11-01,216.837
2025-11-30,179.5446
2025-12-01,211.296
2025-12-31,177.1803
2026-01-01,210.0
2026-01-31,177.2586
2026-02-28,175.3636
