ticker,weight,primary_bucket,composite_score,quality_score,crowding_score
ASML.AS,0.0683,ai_infra,0.85,0.792,0.186
SAAB-B.ST,0.0669,defense,0.832,0.899,0.444
PLTR,0.0632,ai_infra,0.786,0.68,0.174
CS.TO,0.0617,critical_materials,0.767,0.606,0.186
ALB,0.0612,critical_materials,0.761,0.822,0.105
ENTG,0.0603,ai_infra,0.75,0.775,0.383
IDA,0.0596,grid,0.741,0.828,0.355
NVDA,0.0588,ai_infra,0.731,0.552,0.255
DRS,0.0587,defense,0.73,0.731,0.337
SCCO,0.0583,critical_materials,0.725,0.733,0.378
LDOS,0.0572,defense,0.711,0.816,0.697
VIE.PA,0.0571,water,0.71,0.819,0.797
SMCI,0.057,ai_infra,0.709,0.659,0.354
HO.PA,0.0565,defense,0.703,0.657,0.239
BWXT,0.0554,nuclear,0.689,0.802,0.849
