ticker,score_date,physical_raw,physical_norm,physical_confidence,quality_score,quality_confidence,roic_wacc_spread,margin_snr,inflation_convexity,crowding_score,crowding_confidence,etf_correlation,trends_norm,short_pct,composite_score,composite_confidence,mu_estimate,sigma_estimate,kelly_fraction,kelly_25pct,entry_signal,exit_signal,autocorr_delta,absorption_delta,etf_corr_score,short_interest_score,swing_score,swing_confidence,rs_rank,breakout_score,vcp_score
ABB,2026-03-08,2.0,0.6666666666666666,1.0,0.5,0.0,,,,0.5,0.125,0.5,0.5,0.5,,0.375,,,,,False,False,,,,,,,,,
REE.MC,2026-03-08,1.5,0.5,1.0,0.5,0.0,,,,0.5,0.0,0.5,0.5,0.5,,0.3333,,,,,False,False,,,,,,,,,
EDF.PA,2026-03-08,2.0,0.6666666666666666,1.0,0.5,0.0,,,,0.5,0.125,0.5,0.5,0.5,,0.375,,,,,False,False,,,,,,,,,
ENR.DE,2026-04-20,2.0,0.999,1.0,0.0,0.0,,1.792,-3.3323,0.6121,0.5029,,,,0.0,0.6507,0.031,,,,False,True,0.2365,0.0,0.4177,0.0,0.5795,1.0,0.9231,0.3863,0.2787
SU.PA,2026-04-20,2.0,0.999,1.0,1.0,0.75,0.4556,48.6161,0.4647,0.424,0.5029,,,,0.5754,0.8257,0.2036,,,,False,False,0.0069,0.0,0.0,0.0,0.3018,1.0,0.2933,0.3969,0.1287
PWR,2026-04-20,1.5,0.999,1.0,0.0,0.0,,36.986,0.1732,0.4027,0.4239,,,,0.0,0.6322,0.0429,,,,False,True,-0.0839,0.0,0.2205,0.0,0.5266,1.0,0.7356,0.3744,0.4128
ATKR,2026-04-20,1.5,0.999,1.0,0.0,0.9167,-0.073,4.9995,-1.1247,0.6227,0.5029,,,,0.0,0.8646,0.0429,,,,False,True,0.7103,0.0,0.1598,0.0,0.1561,1.0,0.2548,0.0,0.2707
SAAB-B.ST,2026-04-20,1.5,0.999,1.0,0.5112,0.75,0.0872,73.1466,0.1037,0.4121,0.4212,,,,0.3002,0.8066,0.1211,,,,False,False,-0.1143,0.0,0.4608,0.0,0.1754,1.0,0.2981,0.0,0.2809
KOG.OL,2026-04-20,1.5,0.999,1.0,0.0,0.0,,2.3214,-35.3711,0.5329,0.4212,,,,0.0,0.6316,0.031,,,,False,True,0.0931,0.0,0.2352,0.0,0.2136,1.0,0.4038,0.0,0.2604
AIR.PA,2026-04-20,1.5,0.999,1.0,1.0,0.75,0.9052,11.4265,-0.5608,0.3271,0.5029,,,,0.6722,0.8257,0.2327,,,,False,False,-0.1501,0.0,0.0,0.0,0.0887,1.0,0.1298,0.0,0.184
LDOS,2026-04-20,2.0,0.999,1.0,0.0,0.0,,,,0.3828,0.4239,,,,0.0,0.4222,0.0429,,,,False,True,-0.0718,0.0,0.0,0.0,0.1389,1.0,0.0913,0.0,0.5121
VIE.PA,2026-04-20,1.5,0.999,1.0,1.0,0.75,0.2541,29.7835,-0.1232,0.5223,0.493,,,,0.4772,0.8234,0.1742,,,,False,False,-0.0139,0.0,1.0,0.0,0.3074,1.0,0.2212,0.3706,0.3534
GLEN.L,2026-04-20,2.0,0.999,1.0,0.0,0.6667,-0.0352,1.8502,-1.9752,0.5551,0.4239,,,,0.0,0.7878,0.031,,,,False,True,0.166,0.0,0.0,0.0,0.4755,1.0,0.75,0.191,0.4955
BOL.ST,2026-04-20,1.5,0.999,1.0,0.0,0.0,,5.013,-2.5396,0.5262,0.4212,,,,0.0,0.6316,0.031,,,,False,True,0.1262,0.0,0.0,0.0,0.2531,1.0,0.4615,0.0,0.3423
NDA.DE,2026-04-20,2.0,0.999,1.0,0.0634,0.75,0.0329,5.0837,-0.9776,0.5023,0.4239,,,,0.0315,0.8072,0.0405,,,,False,True,0.0932,0.0,0.0,0.0,0.5247,1.0,0.7452,0.4615,0.2101
